season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615286,9688167,0,Jasper Owens,LF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615286,11236744,1,Jayden Helmick,PH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615308,9683952,10,Carter Swanson,DH,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615286,9686710,10,Jake Roshau,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615286,9702273,11,Brandon Barnette,LF,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615286,11236772,12,Tyler Mastro,3B,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615286,9700698,13,Aiden Reis,RF,1,1,0,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615308,9684535,15,Caleb Click,RF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615308,11254291,16,Sammy Roush,LF,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615308,9697672,17,Evan Russ,RF,1,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
2026,MBA,2026-04-03T13:00:00-04:00,6546953,615308,9684470,18,Chase Armstrong,1B,1,1,1,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,9,0,0,0,0,0,1,0,0.0,"Mose Morehead Field (New Concord, OH)",165,615308,615286,Ohio Northern Polar Bears,Muskingum Fighting Muskies
